"Codigo","Grupo","Partido","E1E2","Equipo","GolesFavor","GolesContra","Pts","DiferenciaGoles","Ganado","Perdido","Empate","nomequipo","nomconcursante","correo"
"A_p1_e2","A","p1","e2","Arabia S",6,4,3,2,1,0,0,"flacido","Poncho","holi@hotmail.com"
"A_p2_e2","A","p2","e2","Uruguay",2,0,3,2,1,0,0,"flacido","Poncho","holi@hotmail.com"
"A_p3_e1","A","p3","e1","Rusia",3,0,3,3,1,0,0,"flacido","Poncho","holi@hotmail.com"
"A_p4_e2","A","p4","e2","Arabia S",3,0,3,3,1,0,0,"flacido","Poncho","holi@hotmail.com"
"A_p5_e1","A","p5","e1","Uruguay",4,0,3,4,1,0,0,"flacido","Poncho","holi@hotmail.com"
"A_p6_e1","A","p6","e1","Arabia S",3,0,3,3,1,0,0,"flacido","Poncho","holi@hotmail.com"
"A_p1_e2","A","p1","e1","Rusia",4,6,0,-2,0,1,0,"flacido","Poncho","holi@hotmail.com"
"A_p2_e2","A","p2","e1","Egipto",0,2,0,-2,0,1,0,"flacido","Poncho","holi@hotmail.com"
"A_p3_e1","A","p3","e2","Egipto",0,3,0,-3,0,1,0,"flacido","Poncho","holi@hotmail.com"
"A_p4_e2","A","p4","e1","Uruguay",0,3,0,-3,0,1,0,"flacido","Poncho","holi@hotmail.com"
"A_p5_e1","A","p5","e2","Rusia",0,4,0,-4,0,1,0,"flacido","Poncho","holi@hotmail.com"
"A_p6_e1","A","p6","e2","Egipto",0,3,0,-3,0,1,0,"flacido","Poncho","holi@hotmail.com"
"B_p4_e1","B","p4","e1","Irán",3,0,3,3,1,0,0,"flacido","Poncho","holi@hotmail.com"
"B_p5_e1","B","p5","e1","Irán",33,0,3,33,1,0,0,"flacido","Poncho","holi@hotmail.com"
"B_p1_e2","B","p1","e2","Irán",0,0,1,0,0,0,1,"flacido","Poncho","holi@hotmail.com"
"B_p1_e2","B","p1","e1","Marruecos",0,0,1,0,0,0,1,"flacido","Poncho","holi@hotmail.com"
"B_p2_e2","B","p2","e2","España",0,0,1,0,0,0,1,"flacido","Poncho","holi@hotmail.com"
"B_p2_e2","B","p2","e1","Portugal",0,0,1,0,0,0,1,"flacido","Poncho","holi@hotmail.com"
"B_p3_e2","B","p3","e2","Marruecos",0,0,1,0,0,0,1,"flacido","Poncho","holi@hotmail.com"
"B_p3_e2","B","p3","e1","Portugal",0,0,1,0,0,0,1,"flacido","Poncho","holi@hotmail.com"
"B_p6_e2","B","p6","e2","Marruecos",0,0,1,0,0,0,1,"flacido","Poncho","holi@hotmail.com"
"B_p6_e2","B","p6","e1","España",0,0,1,0,0,0,1,"flacido","Poncho","holi@hotmail.com"
"B_p4_e1","B","p4","e2","España",0,3,0,-3,0,1,0,"flacido","Poncho","holi@hotmail.com"
"B_p5_e1","B","p5","e2","Portugal",0,33,0,-33,0,1,0,"flacido","Poncho","holi@hotmail.com"
"C_p1_e2","C","p1","e2","Australia",0,0,1,0,0,0,1,"flacido","Poncho","holi@hotmail.com"
"C_p1_e2","C","p1","e1","Francia",0,0,1,0,0,0,1,"flacido","Poncho","holi@hotmail.com"
"C_p2_e2","C","p2","e2","Dinamarca",0,0,1,0,0,0,1,"flacido","Poncho","holi@hotmail.com"
"C_p2_e2","C","p2","e1","Perú",0,0,1,0,0,0,1,"flacido","Poncho","holi@hotmail.com"
"C_p3_e2","C","p3","e2","Australia",0,0,1,0,0,0,1,"flacido","Poncho","holi@hotmail.com"
"C_p3_e2","C","p3","e1","Dinamarca",0,0,1,0,0,0,1,"flacido","Poncho","holi@hotmail.com"
