"Codigo","Grupo","Partido","E1E2","Equipo","GolesFavor","GolesContra","Pts","DiferenciaGoles","Ganado","Perdido","Empate","Equipo_gsub","nomequipo","nomconcursante","folio","correo"
"A_p1_e2","A","p1","e2","Arabia S",0,0,1,0,0,0,1,"Arabia S","invitante","participante","Z99","participante@gmail.com"
"A_p1_e2","A","p1","e1","Rusia",0,0,1,0,0,0,1,"Rusia","invitante","participante","Z99","participante@gmail.com"
"A_p2_e2","A","p2","e2","Uruguay",0,0,1,0,0,0,1,"Uruguay","invitante","participante","Z99","participante@gmail.com"
"A_p2_e2","A","p2","e1","Egipto",0,0,1,0,0,0,1,"Egipto","invitante","participante","Z99","participante@gmail.com"
"A_p3_e2","A","p3","e2","Egipto",0,0,1,0,0,0,1,"Egipto","invitante","participante","Z99","participante@gmail.com"
"A_p3_e2","A","p3","e1","Rusia",0,0,1,0,0,0,1,"Rusia","invitante","participante","Z99","participante@gmail.com"
"A_p4_e2","A","p4","e2","Arabia S",0,0,1,0,0,0,1,"Arabia S","invitante","participante","Z99","participante@gmail.com"
"A_p4_e2","A","p4","e1","Uruguay",0,0,1,0,0,0,1,"Uruguay","invitante","participante","Z99","participante@gmail.com"
"A_p5_e2","A","p5","e2","Rusia",0,0,1,0,0,0,1,"Rusia","invitante","participante","Z99","participante@gmail.com"
"A_p5_e2","A","p5","e1","Uruguay",0,0,1,0,0,0,1,"Uruguay","invitante","participante","Z99","participante@gmail.com"
"A_p6_e2","A","p6","e2","Egipto",0,0,1,0,0,0,1,"Egipto","invitante","participante","Z99","participante@gmail.com"
"A_p6_e2","A","p6","e1","Arabia S",0,0,1,0,0,0,1,"Arabia S","invitante","participante","Z99","participante@gmail.com"
"B_p1_e2","B","p1","e2","Irán",0,0,1,0,0,0,1,"Iran","invitante","participante","Z99","participante@gmail.com"
"B_p1_e2","B","p1","e1","Marruecos",0,0,1,0,0,0,1,"Marruecos","invitante","participante","Z99","participante@gmail.com"
"B_p2_e2","B","p2","e2","España",0,0,1,0,0,0,1,"Espana","invitante","participante","Z99","participante@gmail.com"
"B_p2_e2","B","p2","e1","Portugal",0,0,1,0,0,0,1,"Portugal","invitante","participante","Z99","participante@gmail.com"
"B_p3_e2","B","p3","e2","Marruecos",0,0,1,0,0,0,1,"Marruecos","invitante","participante","Z99","participante@gmail.com"
"B_p3_e2","B","p3","e1","Portugal",0,0,1,0,0,0,1,"Portugal","invitante","participante","Z99","participante@gmail.com"
"B_p4_e2","B","p4","e2","España",0,0,1,0,0,0,1,"Espana","invitante","participante","Z99","participante@gmail.com"
"B_p4_e2","B","p4","e1","Irán",0,0,1,0,0,0,1,"Iran","invitante","participante","Z99","participante@gmail.com"
"B_p5_e2","B","p5","e2","Portugal",0,0,1,0,0,0,1,"Portugal","invitante","participante","Z99","participante@gmail.com"
