"Codigo","Grupo","Partido","E1E2","Equipo","GolesFavor","GolesContra","Pts","DiferenciaGoles","Ganado","Perdido","Empate","Equipo_gsub","nomequipo","nomconcursante","folio","correo"
"A_p1_e2","A","p1","e2","Arabia S",0,0,1,0,0,0,1,"Arabia S","invitante2","participante2","Y99","holicomoestas@biengracias.com"
"A_p1_e2","A","p1","e1","Rusia",0,0,1,0,0,0,1,"Rusia","invitante2","participante2","Y99","holicomoestas@biengracias.com"
"A_p2_e2","A","p2","e2","Uruguay",0,0,1,0,0,0,1,"Uruguay","invitante2","participante2","Y99","holicomoestas@biengracias.com"
"A_p2_e2","A","p2","e1","Egipto",0,0,1,0,0,0,1,"Egipto","invitante2","participante2","Y99","holicomoestas@biengracias.com"
"A_p3_e2","A","p3","e2","Egipto",0,0,1,0,0,0,1,"Egipto","invitante2","participante2","Y99","holicomoestas@biengracias.com"
"A_p3_e2","A","p3","e1","Rusia",0,0,1,0,0,0,1,"Rusia","invitante2","participante2","Y99","holicomoestas@biengracias.com"
"A_p4_e2","A","p4","e2","Arabia S",0,0,1,0,0,0,1,"Arabia S","invitante2","participante2","Y99","holicomoestas@biengracias.com"
"A_p4_e2","A","p4","e1","Uruguay",0,0,1,0,0,0,1,"Uruguay","invitante2","participante2","Y99","holicomoestas@biengracias.com"
"A_p5_e2","A","p5","e2","Rusia",0,0,1,0,0,0,1,"Rusia","invitante2","participante2","Y99","holicomoestas@biengracias.com"
"A_p5_e2","A","p5","e1","Uruguay",0,0,1,0,0,0,1,"Uruguay","invitante2","participante2","Y99","holicomoestas@biengracias.com"
"A_p6_e2","A","p6","e2","Egipto",0,0,1,0,0,0,1,"Egipto","invitante2","participante2","Y99","holicomoestas@biengracias.com"
"A_p6_e2","A","p6","e1","Arabia S",0,0,1,0,0,0,1,"Arabia S","invitante2","participante2","Y99","holicomoestas@biengracias.com"
"B_p1_e2","B","p1","e2","Irán",0,0,1,0,0,0,1,"Iran","invitante2","participante2","Y99","holicomoestas@biengracias.com"
"B_p1_e2","B","p1","e1","Marruecos",0,0,1,0,0,0,1,"Marruecos","invitante2","participante2","Y99","holicomoestas@biengracias.com"
"B_p2_e2","B","p2","e2","España",0,0,1,0,0,0,1,"Espana","invitante2","participante2","Y99","holicomoestas@biengracias.com"
"B_p2_e2","B","p2","e1","Portugal",0,0,1,0,0,0,1,"Portugal","invitante2","participante2","Y99","holicomoestas@biengracias.com"
"B_p3_e2","B","p3","e2","Marruecos",0,0,1,0,0,0,1,"Marruecos","invitante2","participante2","Y99","holicomoestas@biengracias.com"
"B_p3_e2","B","p3","e1","Portugal",0,0,1,0,0,0,1,"Portugal","invitante2","participante2","Y99","holicomoestas@biengracias.com"
"B_p4_e2","B","p4","e2","España",0,0,1,0,0,0,1,"Espana","invitante2","participante2","Y99","holicomoestas@biengracias.com"
"B_p4_e2","B","p4","e1","Irán",0,0,1,0,0,0,1,"Iran","invitante2","participante2","Y99","holicomoestas@biengracias.com"
"B_p5_e2","B","p5","e2","Portugal",0,0,1,0,0,0,1,"Portugal","invitante2","participante2","Y99","holicomoestas@biengracias.com"
"B_p5_e2","B","p5","e1","Irán",0,0,1,0,0,0,1,"Iran","invitante2","participante2","Y99","holicomoestas@biengracias.com"
"B_p6_e2","B","p6","e2","Marruecos",0,0,1,0,0,0,1,"Marruecos","invitante2","participante2","Y99","holicomoestas@biengracias.com"
"B_p6_e2","B","p6","e1","España",0,0,1,0,0,0,1,"Espana","invitante2","participante2","Y99","holicomoestas@biengracias.com"
"C_p1_e2","C","p1","e2","Australia",0,0,1,0,0,0,1,"Australia","invitante2","participante2","Y99","holicomoestas@biengracias.com"
"C_p1_e2","C","p1","e1","Francia",0,0,1,0,0,0,1,"Francia","invitante2","participante2","Y99","holicomoestas@biengracias.com"
"C_p2_e2","C","p2","e2","Dinamarca",0,0,1,0,0,0,1,"Dinamarca","invitante2","participante2","Y99","holicomoestas@biengracias.com"
"C_p2_e2","C","p2","e1","Perú",0,0,1,0,0,0,1,"Peru","invitante2","participante2","Y99","holicomoestas@biengracias.com"
"C_p3_e2","C","p3","e2","Australia",0,0,1,0,0,0,1,"Australia","invitante2","participante2","Y99","holicomoestas@biengracias.com"
"C_p3_e2","C","p3","e1","Dinamarca",0,0,1,0,0,0,1,"Dinamarca","invitante2","participante2","Y99","holicomoestas@biengracias.com"
"C_p4_e2","C","p4","e2","Perú",0,0,1,0,0,0,1,"Peru","invitante2","participante2","Y99","holicomoestas@biengracias.com"
"C_p4_e2","C","p4","e1","Francia",0,0,1,0,0,0,1,"Francia","invitante2","participante2","Y99","holicomoestas@biengracias.com"
"C_p5_e2","C","p5","e2","Francia",0,0,1,0,0,0,1,"Francia","invitante2","participante2","Y99","holicomoestas@biengracias.com"
"C_p5_e2","C","p5","e1","Dinamarca",0,0,1,0,0,0,1,"Dinamarca","invitante2","participante2","Y99","holicomoestas@biengracias.com"
"C_p6_e2","C","p6","e2","Perú",0,0,1,0,0,0,1,"Peru","invitante2","participante2","Y99","holicomoestas@biengracias.com"
"C_p6_e2","C","p6","e1","Australia",0,0,1,0,0,0,1,"Australia","invitante2","participante2","Y99","holicomoestas@biengracias.com"
"D_p1_e2","D","p1","e2","Islandia",0,0,1,0,0,0,1,"Islandia","invitante2","participante2","Y99","holicomoestas@biengracias.com"
"D_p1_e2","D","p1","e1","Argentina",0,0,1,0,0,0,1,"Argentina","invitante2","participante2","Y99","holicomoestas@biengracias.com"
"D_p2_e2","D","p2","e2","Nigeria",0,0,1,0,0,0,1,"Nigeria","invitante2","participante2","Y99","holicomoestas@biengracias.com"
"D_p2_e2","D","p2","e1","Croacia",0,0,1,0,0,0,1,"Croacia","invitante2","participante2","Y99","holicomoestas@biengracias.com"
"D_p3_e2","D","p3","e2","Croacia",0,0,1,0,0,0,1,"Croacia","invitante2","participante2","Y99","holicomoestas@biengracias.com"
"D_p3_e2","D","p3","e1","Argentina",0,0,1,0,0,0,1,"Argentina","invitante2","participante2","Y99","holicomoestas@biengracias.com"
"D_p4_e2","D","p4","e2","Islandia",0,0,1,0,0,0,1,"Islandia","invitante2","participante2","Y99","holicomoestas@biengracias.com"
